epochs,iterations,f_dsea,f_true,loss,acc
4,16,"[0.14282939 0.22994883 0.24570203 0.1506377  0.10174519 0.0628883
 0.03308914 0.0164925  0.01246238 0.00420453]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04210628 0.04158013 0.04139869 0.0413181  0.06747784 0.06740873
 0.06736748 0.06734142 0.09503804 0.09499908 0.09496954 0.09494706
 0.11635914 0.11632297 0.11629497 0.11626161 0.13122531 0.13116537
 0.13113598 0.13109707 0.13870026 0.13866396 0.13863515 0.13860527
 0.14148052 0.14145068 0.14142933 0.14140693 0.14476589 0.14474325
 0.14473347 0.14470497 0.14733543 0.14733027 0.1473043  0.14728634
 0.15040633 0.15038479 0.15036697 0.15035991 0.14874716 0.14873829
 0.1487454  0.14871258 0.15009425 0.15008054 0.15007551 0.15006707
 0.15074228 0.15073708 0.15073557 0.15071558 0.15147322 0.15146589
 0.15147269 0.15145257 0.15247704 0.15246689 0.15246602 0.15245566
 0.15133579 0.15133024 0.15133103 0.15131882]","[0.3348775  0.34728462 0.35053465 0.35206434 0.36914125 0.36979014
 0.37033033 0.3705011  0.37785798 0.37810805 0.37834835 0.37857783
 0.3836944  0.38408968 0.38415578 0.38439852 0.38585898 0.38620558
 0.38628098 0.38649613 0.38821265 0.38842997 0.38856855 0.38872647
 0.38898543 0.38912627 0.38917837 0.38924816 0.3904175  0.39046943
 0.390633   0.39061046 0.39074442 0.39071375 0.39088994 0.39084706
 0.39078438 0.39082584 0.39086917 0.39086497 0.39015964 0.39022222
 0.39027062 0.39028168 0.3902146  0.39026996 0.39030105 0.39039236
 0.3908297  0.39092648 0.39087126 0.39100197 0.39144105 0.39144373
 0.39145857 0.3914589  0.391289   0.3912672  0.39139983 0.39133933
 0.39141828 0.39148277 0.3914743  0.39146158]"
4,20,"[0.14685341 0.24421744 0.21286041 0.16728552 0.10409416 0.06034116
 0.03242149 0.01882296 0.00878247 0.00432098]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04204629 0.04160599 0.0414077  0.0413223  0.06933956 0.06926562
 0.0692274  0.06919427 0.09623109 0.09618853 0.09616065 0.09613544
 0.115221   0.11518171 0.11514209 0.11509093 0.12849081 0.12842588
 0.12837865 0.12834205 0.13584307 0.13581027 0.13577931 0.13575487
 0.14173108 0.1417106  0.14169188 0.14166948 0.14639178 0.14631997
 0.14630589 0.14629281 0.14909814 0.14908706 0.1490686  0.14906494
 0.14830094 0.14828406 0.14827941 0.14827084 0.1503003  0.15028972
 0.15028252 0.15027672 0.15245295 0.15243376 0.15242195 0.15242334
 0.15178843 0.15178388 0.15178199 0.15176257 0.14842296 0.14842289
 0.14841555 0.14840948 0.15155157 0.15153823 0.15153135 0.15153547
 0.15088834 0.15088779 0.15088407 0.1508743  0.15083192 0.15082639
 0.15082264 0.15083422 0.15117874 0.15116931 0.15117316 0.15116522
 0.15037894 0.15037631 0.15036984 0.15036852 0.15092967 0.15092255
 0.15092636 0.15092131]","[0.33590943 0.3468851  0.35056046 0.35177302 0.3684933  0.36920962
 0.36951122 0.36978325 0.37810856 0.37844536 0.37865573 0.3787308
 0.3828462  0.3829863  0.38321468 0.3835111  0.38473412 0.3850443
 0.38536492 0.3855468  0.3876394  0.3878191  0.38796088 0.3880812
 0.3894174  0.3895347  0.3897388  0.38971752 0.39075974 0.39079595
 0.3909583  0.39094222 0.3916981  0.39171696 0.39183265 0.39178532
 0.39163223 0.39173287 0.3917333  0.39176226 0.39162445 0.3916917
 0.39186582 0.39174443 0.3922628  0.39223847 0.3923596  0.3923134
 0.39252692 0.39243394 0.39254344 0.39257026 0.39267203 0.39267248
 0.39264408 0.39264894 0.3926469  0.39273614 0.39269367 0.39273128
 0.3927927  0.39284858 0.3928423  0.39290193 0.39289573 0.39293873
 0.39301464 0.39299384 0.39315262 0.39325893 0.39312932 0.3931884
 0.3931692  0.3931549  0.39319542 0.39320356 0.3930587  0.3930721
 0.3930906  0.39309037]"
8,1,"[0.14934068 0.15944591 0.14128874 0.13011632 0.1040935  0.09125241
 0.07188753 0.06255336 0.04851567 0.04150587]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.0420961  0.04163601 0.04143687 0.04133907 0.04129088 0.04126023
 0.0412382  0.04121874]","[0.33537465 0.34549263 0.3492859  0.35079387 0.35187146 0.3525423
 0.35281777 0.35321882]"
8,3,"[0.18184675 0.20179744 0.18363056 0.13896531 0.10776476 0.07494442
 0.0467707  0.03045956 0.02009376 0.01372673]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.0420828  0.04161098 0.04142231 0.04132974 0.04128354 0.04125041
 0.04122964 0.04121029 0.06705423 0.06701967 0.06699561 0.06697796
 0.0669609  0.06694515 0.06693136 0.06691723 0.09250808 0.0924802
 0.09245472 0.09243    0.09239974 0.09237204 0.09234318 0.09232028]","[0.33633313 0.3456121  0.3492735  0.35146764 0.35225737 0.3530542
 0.35317677 0.35326046 0.36895624 0.36931843 0.36951816 0.36966512
 0.3697371  0.36990306 0.3700618  0.3701208  0.37761593 0.37782246
 0.37804556 0.37812433 0.37841487 0.37861553 0.37874708 0.37894192]"
8,6,"[0.16385058 0.21320404 0.20785579 0.16804521 0.1101955  0.06561513
 0.03507696 0.02000965 0.01035983 0.0057873 ]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04209829 0.04162105 0.04143678 0.0413383  0.04128908 0.04125604
 0.04123518 0.04121361 0.07131948 0.07128049 0.07125525 0.07123406
 0.07121887 0.0712023  0.07118446 0.07117203 0.09809484 0.0980576
 0.09803032 0.09799926 0.09796616 0.09793932 0.09791876 0.09789184
 0.11629802 0.11626966 0.11625181 0.1162278  0.11621056 0.11619859
 0.11618215 0.11617457 0.12913804 0.12911943 0.12910468 0.12909
 0.12907839 0.12906221 0.12905123 0.12904062 0.1386672  0.1386515
 0.13863797 0.13862598 0.13861435 0.13861911 0.13859631 0.13858906]","[0.33055046 0.34499273 0.3494197  0.3512349  0.35254347 0.35313523
 0.3536921  0.3539426  0.3682182  0.36857036 0.3688351  0.36898598
 0.36905393 0.36935195 0.36945742 0.36949942 0.37698817 0.37730587
 0.37744585 0.37766    0.3778608  0.3780247  0.3780969  0.3783476
 0.38206363 0.38227382 0.38232332 0.38247305 0.38253263 0.3826345
 0.38272557 0.3828023  0.384885   0.38498312 0.38490883 0.3850082
 0.38513914 0.38516945 0.38521135 0.38527018 0.38843516 0.38851073
 0.38857096 0.38856217 0.3885259  0.38860506 0.3886983  0.3887434 ]"
8,12,"[0.15070878 0.2491025  0.21654661 0.15092396 0.10827078 0.05919529
 0.03101389 0.01788618 0.01022758 0.00612442]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04211686 0.04164088 0.04145017 0.04134915 0.04129534 0.04126349
 0.04123777 0.04121983 0.06907265 0.0690324  0.06900536 0.06898683
 0.06896797 0.06894951 0.06893102 0.06890989 0.09645447 0.09641063
 0.09638016 0.09635381 0.0963247  0.09630366 0.09628526 0.09626483
 0.11728854 0.11726146 0.11724028 0.11722564 0.1172081  0.11719026
 0.11717993 0.11716079 0.12984265 0.12982546 0.129811   0.12979955
 0.12978698 0.12977039 0.12975943 0.12974561 0.13673006 0.13671092
 0.13670602 0.13669856 0.13668251 0.13667407 0.13666082 0.13665555
 0.14203911 0.14203251 0.14202355 0.14201164 0.14200608 0.14200629
 0.14199059 0.14198932 0.14424456 0.14423933 0.14423231 0.14422642
 0.14421848 0.1442134  0.14420897 0.14420184 0.14523931 0.14523956
 0.14522848 0.14522704 0.14522103 0.14521969 0.14521345 0.14520441
 0.14608085 0.14607731 0.14607225 0.1460649  0.14606309 0.14606147
 0.14605314 0.14604983 0.1486935  0.14868584 0.14867987 0.1486759
 0.14867494 0.14867001 0.14866579 0.14866621 0.14793566 0.14793415
 0.147929   0.14794119 0.14792365 0.14791814 0.1479163  0.14790967]","[0.33382118 0.34513974 0.34911424 0.35127077 0.3522504  0.35279313
 0.3532686  0.35345626 0.36918196 0.36968005 0.3698579  0.37009424
 0.37019897 0.3703806  0.37065423 0.37066656 0.37500885 0.37524518
 0.37539825 0.37556723 0.37575492 0.37587816 0.37604547 0.37617943
 0.3841288  0.38422626 0.38426587 0.38436165 0.38450316 0.38467038
 0.38477913 0.38472483 0.38759935 0.3876994  0.38774806 0.38789117
 0.3879297  0.38799766 0.38805774 0.3880681  0.38935465 0.389449
 0.38956428 0.3895011  0.38952473 0.38963297 0.38960508 0.38969448
 0.390245   0.39036733 0.39035225 0.390406   0.39041165 0.39051536
 0.3904795  0.39053395 0.39149585 0.39144224 0.39160544 0.39162773
 0.39159882 0.39161313 0.39162597 0.39179587 0.39188802 0.39186457
 0.39201236 0.3919766  0.39204738 0.3919883  0.39208943 0.39205283
 0.39215335 0.39214104 0.3922281  0.39220774 0.39222825 0.39221904
 0.39226362 0.39232495 0.3926223  0.39262497 0.39259395 0.39265177
 0.39265436 0.39259765 0.3926847  0.39263257 0.392836   0.39280885
 0.39288166 0.39287874 0.39292583 0.392956   0.39296654 0.39298758]"
8,16,"[0.13779094 0.27518183 0.20713112 0.16423248 0.0913535  0.05794175
 0.03735094 0.01504491 0.00843288 0.00553966]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04210041 0.04164807 0.04145244 0.04134828 0.04129608 0.04126278
 0.04123778 0.04122079 0.06885689 0.06881993 0.06879916 0.06878171
 0.06876493 0.06874878 0.06873379 0.06871866 0.0971968  0.09716072
 0.09712892 0.09709136 0.09705803 0.09702855 0.09699822 0.09697563
 0.11583694 0.11580578 0.11578349 0.1157632  0.11574375 0.11572716
 0.11571002 0.11569824 0.12896707 0.12894566 0.12892753 0.1289166
 0.12890447 0.12889382 0.12887891 0.12887041 0.13434314 0.13433158
 0.1343178  0.13431187 0.13430393 0.13429597 0.13429008 0.13427821
 0.13857003 0.13855867 0.13854591 0.13854193 0.13853437 0.13852737
 0.13852216 0.13852308 0.14227494 0.14226767 0.14226238 0.14225812
 0.14224797 0.14224107 0.14224116 0.14223567 0.14646689 0.14646014
 0.14645346 0.14645026 0.14644633 0.14643995 0.14643757 0.14643048
 0.14621731 0.14621201 0.14621018 0.14620343 0.14619899 0.14619331
 0.14619274 0.1461896  0.14644021 0.14643663 0.14643104 0.14642343
 0.14641918 0.14641358 0.14640933 0.14641085 0.14696971 0.14697781
 0.14696558 0.14695791 0.14695458 0.14695464 0.14694854 0.14694579
 0.14818868 0.14818606 0.14817777 0.14817517 0.14817142 0.14817649
 0.14817152 0.14816534 0.14820925 0.14822563 0.14820497 0.14820679
 0.14819493 0.14819759 0.14819563 0.14818713 0.14791924 0.14791768
 0.14791304 0.14791202 0.14790982 0.14790825 0.14790747 0.1479028
 0.14847551 0.14847292 0.14847344 0.14847025 0.14846597 0.14846544
 0.14846419 0.14845816]","[0.33271545 0.3444242  0.3483622  0.3506718  0.35181937 0.3526672
 0.3531307  0.35346273 0.3704302  0.37075797 0.37079933 0.3711214
 0.37111613 0.37132037 0.37139544 0.3714588  0.37969068 0.37993616
 0.38011947 0.3804614  0.38072965 0.3807914  0.38106024 0.38120243
 0.38516134 0.3853806  0.38542685 0.3856186  0.3856487  0.3857824
 0.38577887 0.38590306 0.3871064  0.38716036 0.38734466 0.38725343
 0.3872846  0.38739744 0.38762534 0.38762414 0.38870358 0.388687
 0.38869914 0.38876912 0.38883    0.3887861  0.38883546 0.38892126
 0.39048687 0.39057007 0.39055356 0.39062604 0.39059997 0.39062947
 0.39074868 0.3907823  0.39167213 0.39170882 0.39176813 0.39170405
 0.3918439  0.391806   0.39185208 0.39178622 0.39174846 0.3918112
 0.39179417 0.39175078 0.39186165 0.39188534 0.39184043 0.39190814
 0.39182118 0.3918216  0.3918271  0.39184588 0.3918531  0.39191744
 0.39189497 0.3919025  0.39128304 0.3913045  0.39138383 0.39136398
 0.3913101  0.39139858 0.39138868 0.39139447 0.39124122 0.39132217
 0.3913495  0.39126503 0.39128682 0.39140168 0.3913581  0.3914557
 0.3911752  0.39111346 0.3912135  0.3911618  0.3912193  0.3911004
 0.39116994 0.39119238 0.3911743  0.39118084 0.39116475 0.39116174
 0.3912172  0.39110675 0.39118788 0.39119196 0.39166483 0.39163795
 0.39171562 0.3916295  0.3916918  0.39169943 0.39170244 0.3916584
 0.39154258 0.391544   0.39143142 0.39153615 0.3915312  0.39160785
 0.39155224 0.39158925]"
8,20,"[0.14596742 0.24845586 0.22026272 0.16750764 0.09030116 0.06655132
 0.02892382 0.01643842 0.00987846 0.00571317]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04219097 0.04160124 0.04140231 0.04131844 0.04127763 0.04125025
 0.04122717 0.04120939 0.06954489 0.06950702 0.0694846  0.06946746
 0.06944936 0.06943282 0.06941655 0.06939675 0.09670256 0.09665572
 0.09661332 0.09658137 0.09654665 0.09652111 0.09649726 0.09646796
 0.11812287 0.11809011 0.11808397 0.11804765 0.11803203 0.11801356
 0.11800769 0.11798815 0.13131577 0.13129752 0.13128046 0.13127116
 0.13125514 0.13124382 0.13123331 0.1312224  0.13677447 0.13675909
 0.13674849 0.13676019 0.1367332  0.13672166 0.13671173 0.13672267
 0.13943299 0.13942718 0.13942563 0.13941458 0.13940938 0.13940418
 0.13939432 0.13939059 0.14170862 0.14170235 0.14170775 0.14169976
 0.14169568 0.14168173 0.14167727 0.1416783  0.14629138 0.1462811
 0.14628067 0.14627499 0.14626785 0.14626428 0.14626565 0.1462531
 0.14692384 0.14691949 0.14691218 0.14691453 0.14690444 0.14690255
 0.14689367 0.14689107 0.14688313 0.14687527 0.14687898 0.14686778
 0.14686745 0.1468636  0.14685683 0.14685424 0.14783931 0.14783256
 0.14782827 0.14782335 0.1478232  0.14782921 0.14781603 0.14781663
 0.14645401 0.14645411 0.14645125 0.14645707 0.14644594 0.14643954
 0.14643937 0.14643755 0.1474445  0.14744175 0.14743999 0.14743558
 0.14743347 0.1474321  0.14743415 0.14744128 0.14775181 0.1477502
 0.14775002 0.14774461 0.14774581 0.14774024 0.14773728 0.14773875
 0.15045751 0.15045466 0.15045462 0.15044859 0.15044798 0.15045209
 0.15043864 0.15044031 0.15046928 0.15046882 0.150465   0.1504658
 0.15045974 0.15045954 0.15046282 0.15045336 0.15023439 0.15023028
 0.1502313  0.1502278  0.15022373 0.15022106 0.15022451 0.15022008
 0.14879554 0.14878591 0.14878535 0.14878254 0.14878501 0.14878376
 0.14877971 0.14877199 0.14743668 0.14744064 0.14743513 0.14743483
 0.14743466 0.14743225 0.14743036 0.14743324]","[0.335083   0.34543207 0.34931916 0.35121638 0.35209817 0.35273919
 0.35293338 0.35326222 0.3693982  0.36967257 0.36988682 0.37010464
 0.37014702 0.3702681  0.3704875  0.37053543 0.37850007 0.3788089
 0.3789328  0.3792956  0.37946716 0.37970576 0.37993902 0.38012862
 0.38503298 0.385162   0.3853233  0.3855276  0.38567936 0.3856693
 0.38581482 0.3858428  0.38723952 0.38727304 0.38735974 0.38745987
 0.38750628 0.3874654  0.3875882  0.38767067 0.3883244  0.38832808
 0.38831812 0.38849714 0.38846692 0.38850385 0.38851073 0.38862753
 0.38978788 0.3899181  0.38986102 0.38989872 0.38994178 0.38995102
 0.38998082 0.38998502 0.39058757 0.3906794  0.39072675 0.39075196
 0.390762   0.3908286  0.390702   0.390745   0.39179596 0.3919037
 0.39190152 0.39189506 0.3919069  0.3918814  0.39195287 0.39194852
 0.39209563 0.3920473  0.39212948 0.39217296 0.3921624  0.39216065
 0.39218512 0.3922378  0.3919697  0.39207503 0.3919863  0.3920327
 0.3920705  0.39197934 0.39203456 0.39226848 0.3922534  0.3922973
 0.3924223  0.39243394 0.39238325 0.39240134 0.39248034 0.39240378
 0.39272994 0.3926671  0.39274913 0.3928236  0.39275903 0.3927379
 0.3927797  0.39275667 0.39256924 0.392476   0.3925265  0.39257923
 0.3925623  0.3925148  0.39254394 0.39250207 0.39254478 0.39257443
 0.392458   0.3925457  0.39244542 0.39260066 0.3924946  0.3924735
 0.39230013 0.3923824  0.39231256 0.39241418 0.39243996 0.39237714
 0.39245346 0.39236936 0.3925411  0.3926294  0.3925895  0.39253673
 0.392637   0.3924728  0.3926681  0.39262933 0.39301965 0.39302367
 0.39304402 0.39315748 0.39315027 0.39309406 0.39308953 0.39310688
 0.39329588 0.39320472 0.39320195 0.39326027 0.39324066 0.3932606
 0.39328766 0.3932777  0.3934656  0.39341986 0.39337003 0.39336953
 0.39343855 0.39347935 0.39339676 0.3934275 ]"
10,1,"[0.1646372  0.15255856 0.13592465 0.12611125 0.10679014 0.08915647
 0.07523293 0.05893016 0.04944223 0.04121642]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.0420216  0.04161183 0.04142019 0.04132625 0.04127879 0.04124952
 0.04122666 0.04120765 0.04119384 0.04117824]","[0.33602336 0.34628278 0.34941593 0.35121772 0.35219654 0.35243985
 0.35262465 0.35299078 0.35339436 0.353358  ]"
10,3,"[0.18345956 0.20383019 0.1848172  0.14366887 0.10948377 0.07110969
 0.04373933 0.02789902 0.01870591 0.01328646]","[0.147122 0.246214 0.224416 0.15894  0.099776 0.057786 0.032582 0.018136
 0.00985  0.005178]","[0.04209054 0.04158687 0.04139426 0.04131577 0.04127431 0.0412457
 0.04122271 0.04120557 0.04119035 0.0411807  0.06789411 0.0678603
 0.06784386 0.06782763 0.06781121 0.06779572 0.06778102 0.06776243
 0.06774644 0.06773588 0.09420692 0.09416508 0.09414018 0.09411632
 0.09409416 0.09407309 0.09405679 0.09404028 0.09402951 0.09401544]","[0.3355294  0.34637594 0.34995496 0.35103625 0.35197794 0.35247636
 0.35296884 0.35327095 0.35346398 0.35367644 0.36744946 0.36788988
 0.3680738  0.3682034  0.36842516 0.36850065 0.36867088 0.36882135
 0.36897635 0.3691266  0.37667716 0.37702343 0.37713394 0.3773976
 0.37763396 0.37763923 0.37780586 0.37788865 0.37799412 0.3780888 ]"
