0,1,2,3,4,5,6,7,8,9
77291.4765625,124372.0,111580.796875,77217.34375,48734.53125,28930.37109375,16904.15234375,7749.2275390625,4544.8837890625,2636.15185546875
77014.3671875,124678.2578125,111822.0,77178.453125,48669.57421875,28869.12890625,16848.59375,7748.123046875,4535.353515625,2595.16650390625
77315.3203125,124433.25,111752.78125,77183.5078125,48651.46875,28872.318359375,16857.98828125,7748.69677734375,4535.5908203125,2611.678466796875
77099.03125,124335.921875,111699.90625,77224.40625,48746.73046875,28994.51953125,16958.43359375,7780.119140625,4521.14306640625,2601.451416015625
77369.8984375,124743.078125,111774.359375,77141.984375,48539.58984375,28791.208984375,16837.421875,7707.6923828125,4478.19775390625,2574.918701171875
77033.5859375,124221.3203125,111768.078125,77394.2578125,48864.640625,28990.60546875,16867.38671875,7726.3046875,4509.25,2584.5947265625
76893.3203125,124626.4609375,111826.1953125,77255.265625,48668.91015625,28895.609375,16891.083984375,7756.09228515625,4539.62060546875,2607.40576171875
77119.9296875,124540.1015625,111815.3828125,77202.9296875,48598.6015625,28882.625,16906.90234375,7752.25048828125,4529.8779296875,2612.381103515625
77166.546875,124294.46875,111707.015625,77205.59375,48698.57421875,28969.3046875,16942.568359375,7776.8125,4559.77294921875,2642.079833984375
76985.2734375,124536.203125,111825.25,77271.015625,48731.76171875,28919.1171875,16861.796875,7719.5986328125,4509.52734375,2603.68017578125
77026.75,124485.8046875,111781.640625,77299.5390625,48731.46875,28884.630859375,16851.14453125,7740.390625,4545.0556640625,2614.27783203125
77275.5546875,124429.859375,111789.359375,77204.609375,48654.3984375,28890.57421875,16870.76953125,7740.576171875,4520.60009765625,2583.683837890625
77259.5546875,124537.7265625,111619.875,77121.390625,48689.86328125,28933.35546875,16914.1953125,7748.51171875,4526.23681640625,2608.88330078125
77038.15625,124462.2421875,111932.8359375,77329.6796875,48679.73046875,28868.544921875,16860.685546875,7706.26611328125,4499.89501953125,2583.48583984375
77314.78125,124503.78125,111760.796875,77232.78125,48610.0859375,28828.65234375,16880.322265625,7735.0517578125,4512.76416015625,2583.330322265625
76926.0390625,124245.2734375,111795.84375,77364.9609375,48751.91796875,28978.62890625,16947.3125,7766.84423828125,4547.84619140625,2635.123291015625
76978.828125,124295.2890625,111785.9921875,77292.984375,48756.4765625,28963.869140625,16949.38671875,7784.9619140625,4540.69921875,2611.950927734375
77129.28125,124504.3359375,111935.171875,77308.2421875,48651.83984375,28808.8125,16826.298828125,7712.20361328125,4499.1865234375,2586.895751953125
77388.7734375,124494.3515625,111625.0234375,77131.078125,48609.54296875,28858.12890625,16914.568359375,7778.6455078125,4556.41748046875,2608.206298828125
77058.2578125,124420.65625,111815.390625,77270.4453125,48705.203125,28940.09375,16914.578125,7748.220703125,4513.24072265625,2578.0380859375
77139.5703125,124526.5546875,111776.8515625,77190.6484375,48631.1171875,28860.22265625,16902.638671875,7778.26953125,4546.3984375,2610.065185546875
77241.75,124403.875,111694.4453125,77207.5546875,48689.03515625,28923.033203125,16885.546875,7748.27490234375,4544.517578125,2622.79296875
77143.0234375,124402.9453125,111727.4453125,77247.6875,48686.69921875,28920.318359375,16921.21875,7770.599609375,4545.46533203125,2597.10009765625
77059.796875,124602.1796875,111809.5390625,77177.890625,48640.21484375,28888.939453125,16884.001953125,7739.205078125,4536.6474609375,2623.795654296875
77302.890625,124508.6640625,111716.953125,77099.75,48556.515625,28896.4140625,16937.59765625,7796.587890625,4541.6826171875,2602.360595703125
77385.921875,124658.3359375,111864.953125,77139.3125,48570.609375,28769.638671875,16775.0546875,7682.15185546875,4509.7216796875,2605.96826171875
77190.828125,124601.5703125,111676.0,77094.0234375,48606.8671875,28913.97265625,16927.63671875,7774.537109375,4555.5703125,2618.80810546875
77214.2890625,124497.078125,111691.5546875,77226.6328125,48705.4375,28872.919921875,16855.58203125,7752.35888671875,4549.25732421875,2598.07421875
76968.09375,124606.4453125,111833.21875,77183.71875,48659.87109375,28898.572265625,16919.193359375,7765.03564453125,4530.4306640625,2594.1015625
77219.1796875,124511.4140625,111644.2109375,77163.1796875,48646.52734375,28905.373046875,16950.833984375,7771.224609375,4535.7373046875,2612.307373046875
77137.171875,124487.8046875,111877.96875,77220.15625,48574.52734375,28831.033203125,16877.890625,7749.8359375,4557.0927734375,2647.250244140625
77294.5390625,124628.1015625,111829.7109375,77236.9140625,48607.8515625,28817.490234375,16816.591796875,7692.5947265625,4472.25537109375,2564.29345703125
77075.515625,124444.28125,111800.375,77217.8125,48684.59765625,28920.583984375,16907.015625,7761.181640625,4543.9638671875,2607.517578125
77099.8984375,124629.34375,111884.9921875,77277.6640625,48650.703125,28878.6484375,16840.693359375,7697.46240234375,4457.52783203125,2545.39990234375
76945.8359375,124492.1328125,111982.9609375,77334.7265625,48671.33203125,28853.80859375,16848.9765625,7732.5986328125,4514.94482421875,2582.30712890625
77130.4921875,124367.6015625,111766.609375,77263.8125,48723.1640625,28977.091796875,16926.521484375,7743.50341796875,4493.6533203125,2569.781494140625
77129.8046875,124430.59375,111765.8515625,77233.78125,48658.5625,28889.353515625,16918.322265625,7789.3486328125,4554.07666015625,2587.982666015625
77417.5546875,124465.5625,111559.9765625,77152.09375,48732.72265625,28946.30859375,16898.595703125,7732.5751953125,4488.0908203125,2569.504638671875
77208.4375,124675.8984375,111791.34375,77089.7890625,48560.453125,28874.458984375,16898.7578125,7747.97802734375,4525.47607421875,2591.4287109375
76963.671875,124487.9921875,111850.4375,77342.390625,48689.53125,28881.814453125,16875.728515625,7739.6298828125,4525.08251953125,2605.65087890625
77158.3515625,124441.09375,111837.4140625,77193.421875,48653.203125,28870.12109375,16891.81640625,7766.62744140625,4544.85693359375,2606.47998046875
77255.21875,124647.609375,111857.6953125,77176.828125,48560.609375,28798.822265625,16824.90625,7722.1875,4513.4375,2605.5185546875
77345.703125,124482.484375,111672.3359375,77219.7890625,48668.58203125,28854.755859375,16844.02734375,7730.35498046875,4533.3798828125,2611.78173828125
77140.609375,124428.3203125,111839.5,77205.3203125,48658.08203125,28920.4296875,16881.380859375,7744.1572265625,4533.24755859375,2611.028564453125
77467.625,124634.15625,111667.3046875,77098.1171875,48605.03125,28833.359375,16845.017578125,7727.23681640625,4507.24462890625,2574.72314453125
77384.6171875,124486.5390625,111691.8359375,77156.03125,48609.515625,28841.62109375,16874.2578125,7754.3857421875,4542.6103515625,2620.57421875
77113.53125,124548.703125,111798.890625,77208.1484375,48664.953125,28850.556640625,16860.28515625,7752.9716796875,4546.2763671875,2615.705322265625
77025.2265625,124314.2734375,111719.0546875,77266.796875,48749.23046875,28989.84375,16966.556640625,7782.60546875,4544.1484375,2602.197021484375
77042.5546875,124637.4296875,112003.671875,77250.234375,48554.50390625,28781.40625,16818.86328125,7737.537109375,4532.43701171875,2602.2392578125
77145.8515625,124421.1171875,111721.734375,77202.9609375,48651.09765625,28895.30859375,16950.4765625,7807.62890625,4564.232421875,2602.59814453125
77072.6953125,124476.5234375,111815.1640625,77204.7265625,48694.4296875,28926.251953125,16878.919921875,7765.37255859375,4539.8330078125,2590.2470703125
77116.9765625,124475.9765625,111857.1953125,77241.1796875,48688.67578125,28902.744140625,16874.22265625,7721.8310546875,4504.47216796875,2578.778564453125
77002.1328125,124493.265625,111859.3671875,77368.0625,48765.91015625,28864.51171875,16823.947265625,7695.81005859375,4491.28515625,2595.970947265625
76904.3984375,124479.859375,111902.7109375,77330.3359375,48738.578125,28902.873046875,16862.693359375,7728.94921875,4522.74951171875,2588.92822265625
77006.6640625,124549.3046875,111850.8984375,77250.9296875,48698.10546875,28908.224609375,16860.314453125,7723.64404296875,4514.9638671875,2596.649169921875
