0,1,2,3,4,5,6,7,8,9
17797.0390625,9272.21875,108056.390625,147914.28125,29852.484375,13561.115234375,30800.89453125,55437.61328125,51981.015625,35276.42578125
17619.76953125,9238.5908203125,108273.2421875,148385.75,29896.1875,13558.3857421875,30746.017578125,55260.74609375,51820.33203125,35152.7734375
17885.451171875,9277.06640625,108055.3359375,147888.0,29887.25,13576.19140625,30793.34765625,55392.28515625,51950.30078125,35246.16015625
17707.68359375,9247.4453125,108048.203125,147883.4375,29866.05859375,13565.4931640625,30815.51953125,55499.09765625,52065.4453125,35252.2578125
17762.54296875,9284.6142578125,108490.546875,148130.890625,29837.7265625,13555.8232421875,30760.5703125,55263.015625,51821.25,35043.03515625
17799.78125,9234.9052734375,107874.3671875,147815.46875,29895.0546875,13598.7236328125,30901.986328125,55582.75390625,52043.08203125,35206.1875
17675.484375,9233.263671875,108222.890625,148130.578125,29866.5234375,13565.978515625,30797.685546875,55395.25,51895.26953125,35170.11328125
17781.99609375,9246.1005859375,108143.15625,148060.75,29886.568359375,13564.873046875,30780.169921875,55344.3359375,51934.18359375,35211.76953125
17757.12109375,9248.3779296875,108212.421875,147820.828125,29833.7734375,13560.8193359375,30800.087890625,55409.0859375,51979.91015625,35330.90625
17644.01171875,9219.65234375,108103.4609375,148070.109375,29883.173828125,13581.9736328125,30834.314453125,55455.3515625,51967.234375,35192.2734375
17732.7265625,9235.666015625,108143.3125,148040.609375,29898.615234375,13586.375,30825.28125,55406.640625,51892.55859375,35191.00390625
17913.8984375,9268.587890625,108025.7265625,147904.125,29885.603515625,13588.5771484375,30829.525390625,55409.40234375,51946.5703125,35176.8046875
17742.818359375,9287.2001953125,108315.109375,147942.734375,29813.19921875,13547.6630859375,30775.560546875,55356.65625,51941.828125,35229.58984375
17667.095703125,9237.1572265625,107980.203125,148147.640625,29938.607421875,13598.298828125,30862.458984375,55453.625,51932.98046875,35136.66015625
17838.890625,9284.7353515625,108277.046875,147961.328125,29866.5078125,13582.2333984375,30782.951171875,55284.453125,51883.3359375,35189.27734375
17743.736328125,9235.5751953125,107928.3671875,147820.875,29869.955078125,13593.95703125,30872.033203125,55525.23828125,52065.984375,35295.56640625
17701.947265625,9220.662109375,107889.3828125,147911.53125,29923.806640625,13592.68359375,30870.751953125,55519.73828125,52057.1640625,35265.1328125
17791.201171875,9257.65625,108162.4921875,148098.28125,29915.052734375,13602.1484375,30835.35546875,55352.81640625,51855.1953125,35080.5390625
17827.419921875,9293.837890625,108321.796875,147892.03125,29835.734375,13543.439453125,30751.896484375,55316.40234375,51931.95703125,35239.765625
17816.025390625,9248.0625,108016.2578125,147922.453125,29868.62109375,13570.3173828125,30821.73828125,55454.375,52026.234375,35208.9140625
17673.6796875,9257.396484375,108344.8828125,148031.09375,29855.35546875,13581.8974609375,30779.900390625,55337.828125,51909.953125,35176.41796875
17743.96484375,9282.2783203125,108246.328125,147720.75,29807.775390625,13577.8056640625,30844.224609375,55465.73046875,52003.10546875,35256.9375
17788.458984375,9279.6142578125,108184.59375,147861.859375,29866.76171875,13568.314453125,30782.125,55394.5390625,51979.1328125,35244.78515625
17712.185546875,9264.4599609375,108209.8984375,148128.4375,29901.056640625,13560.5322265625,30778.51953125,55373.90234375,51868.41015625,35155.05859375
17833.751953125,9281.8095703125,108217.1484375,147968.484375,29838.54296875,13546.1767578125,30742.681640625,55312.37109375,51962.59765625,35246.97265625
17831.16796875,9285.083984375,108342.1640625,148246.078125,29916.630859375,13583.5556640625,30760.509765625,55188.73828125,51722.69140625,35073.71875
17709.162109375,9267.8125,108242.125,148025.359375,29846.93359375,13569.5859375,30771.240234375,55329.00390625,51919.85546875,35271.73046875
17753.240234375,9262.345703125,108246.890625,147917.1875,29858.748046875,13577.2880859375,30814.978515625,55392.0546875,51916.9609375,35209.8359375
17588.525390625,9249.9853515625,108183.6796875,148144.0625,29893.0078125,13577.7783203125,30808.603515625,55394.44140625,51963.82421875,35152.73046875
17732.876953125,9253.0380859375,108118.734375,148091.96875,29845.576171875,13557.890625,30777.8515625,55382.50390625,51961.484375,35228.9375
17734.80859375,9262.396484375,108221.3828125,148054.328125,29896.416015625,13576.4931640625,30786.892578125,55314.3671875,51852.89453125,35249.1484375
17831.248046875,9277.91796875,108321.421875,148208.59375,29930.181640625,13586.2314453125,30788.8203125,55270.58203125,51767.37890625,34969.1796875
17753.86328125,9254.9091796875,108070.5546875,148064.6875,29868.216796875,13554.72265625,30805.73828125,55412.72265625,51965.9296875,35203.57421875
17713.2734375,9254.490234375,108221.5234375,148178.90625,29897.962890625,13563.064453125,30812.466796875,55406.7421875,51895.76953125,35007.0859375
17585.5078125,9226.7548828125,108199.2734375,148186.96875,29911.599609375,13574.9345703125,30815.78125,55401.79296875,51910.20703125,35135.91015625
17794.361328125,9249.9384765625,108023.9296875,147938.203125,29867.63671875,13577.6142578125,30837.326171875,55461.92578125,52017.26171875,35182.99609375
17765.31640625,9254.3798828125,108099.046875,147926.09375,29855.365234375,13570.212890625,30811.3984375,55420.40234375,51986.8046875,35261.68359375
17848.591796875,9287.3154296875,108290.65625,147930.34375,29855.548828125,13548.576171875,30761.611328125,55385.12890625,51935.84765625,35106.40234375
17769.23828125,9276.291015625,108273.0078125,147976.25,29867.560546875,13557.3798828125,30767.685546875,55344.140625,51916.8828125,35204.8515625
17709.873046875,9240.4189453125,108112.1640625,148088.90625,29865.763671875,13568.6455078125,30820.732421875,55444.0234375,51945.703125,35155.66015625
17795.5546875,9259.990234375,108227.4609375,147927.546875,29851.978515625,13553.783203125,30771.50390625,55364.24609375,51966.09765625,35235.75
17749.287109375,9277.3095703125,108440.265625,148187.4375,29894.220703125,13569.6904296875,30742.5625,55266.1015625,51761.91796875,35067.18359375
17792.451171875,9266.669921875,108223.0234375,148010.796875,29854.83984375,13574.5009765625,30811.564453125,55358.33984375,51865.77734375,35197.69140625
17784.9296875,9248.1201171875,108101.640625,148001.421875,29890.88671875,13573.58984375,30813.115234375,55416.1015625,51924.03125,35199.48046875
17911.669921875,9287.345703125,108337.03125,148151.09375,29850.173828125,13548.384765625,30726.677734375,55286.3515625,51807.59375,35047.41015625
17831.228515625,9287.583984375,108172.65625,148031.9375,29838.974609375,13550.0458984375,30781.287109375,55346.1171875,51899.46875,35210.515625
17800.1875,9250.693359375,108176.6015625,148027.609375,29857.869140625,13564.30859375,30791.6328125,55394.71484375,51889.18359375,35201.79296875
17789.212890625,9242.302734375,108070.2890625,147871.8125,29825.38671875,13544.08203125,30793.4453125,55475.25,52060.20703125,35278.671875
