epochs,iterations,f_dsea,f_true,loss,acc
4,16,"[0.15212299 0.24931399 0.20974078 0.16279575 0.10365599 0.0605692 0.02994362 0.01575565 0.01037287 0.00572916]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04208644 0.04163805 0.04144394 0.04134507 0.06559295 0.06552306 0.06548507 0.06545752 0.0949895  0.09494588 0.0949172  0.09489512 0.11341215 0.11337823 0.11335088 0.11332455 0.128534   0.12848952 0.12844467 0.12840065 0.13742613 0.13738587 0.13735379 0.13732995 0.14273356 0.14271321 0.14268995 0.14266662 0.14838606 0.14836813 0.14834565 0.14833602 0.15038057 0.15036611 0.15034635 0.15033115 0.15178672 0.15177476 0.15175982 0.15175487 0.14949244 0.14949 0.14947601 0.14947314 0.14830134 0.14829328 0.14828403 0.14827313 0.15034921 0.15034255 0.15034057 0.15032858 0.14991436 0.14991723 0.14989871 0.14989227 0.14680852 0.14680049 0.1467985  0.1467923 0.14779896 0.14780002 0.14778587 0.14778629]","[0.3362056  0.34559745 0.3489521  0.3506466  0.3635635  0.3643369 0.3647844  0.36508054 0.3735631  0.37377247 0.37399566 0.37420756 0.38000965 0.38028142 0.38034025 0.38040066 0.383602   0.38387078 0.38408634 0.3843494  0.38607672 0.38627428 0.3864452  0.38665977 0.38701758 0.38697645 0.3870408  0.38718137 0.38884073 0.38896534 0.3890208  0.3891675  0.39029    0.3903722  0.39056084 0.39046535 0.39081118 0.39078438 0.39095983 0.39089966 0.39146844 0.39143553 0.39152676 0.39151922 0.39176854 0.39172223 0.39175203 0.39178598 0.39193544 0.3919832  0.39193177 0.3920427  0.39194918 0.39195 0.39210057 0.39215413 0.39201596 0.39208457 0.39219534 0.39218125 0.3922338  0.39238954 0.39233944 0.39219323]"
4,20,"[0.15518743 0.24182138 0.21866053 0.1565664  0.10461424 0.06275169 0.0281267  0.01745627 0.0105051  0.00431026]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04209069 0.04161741 0.0414343  0.04134337 0.07106833 0.07099574 0.07095137 0.07092081 0.09765071 0.09761093 0.09758412 0.09756015 0.11771063 0.11767664 0.11764724 0.11760049 0.12810446 0.12804421 0.12799223 0.12795907 0.13765643 0.13762569 0.13761218 0.13757554 0.14179242 0.14176653 0.14175097 0.14174407 0.14591389 0.14589635 0.14587673 0.14586113 0.14854935 0.14853531 0.14852062 0.14850576 0.14779738 0.14778692 0.14777675 0.14776472 0.15299468 0.15298036 0.15296639 0.15296454 0.15518813 0.15517894 0.1551665  0.15516167 0.15326823 0.15326319 0.15324806 0.15324523 0.15078283 0.15078109 0.15077829 0.15076306 0.15075313 0.15074705 0.15073816 0.15073344 0.15084074 0.15083036 0.150826   0.15081932 0.14935888 0.14934987 0.14934368 0.14933671 0.14936172 0.14935896 0.14935362 0.14934918 0.14912648 0.14911655 0.1491177  0.14915605 0.14873414 0.14873659 0.14872699 0.1487214 ]","[0.3348166  0.34450495 0.3486722  0.3504741  0.36564347 0.3663407 0.36674318 0.36695766 0.37622115 0.37649494 0.37662756 0.37676138 0.3814366  0.38163382 0.38174534 0.38189545 0.38322556 0.38341877 0.38376287 0.38394895 0.3853656  0.3854797  0.3856031  0.3856332 0.3868858  0.38696656 0.38709843 0.38714695 0.38816765 0.38810942 0.38834602 0.38835388 0.38817242 0.3882319  0.38825345 0.38847637 0.3895177  0.3895523  0.38959688 0.38965988 0.39086908 0.3908881 0.3909976  0.39094967 0.3916624  0.39182016 0.39176622 0.39180708 0.39203924 0.39213786 0.39210576 0.3921775  0.3923423  0.39244208 0.3924103  0.3924863  0.39255786 0.39267337 0.39271024 0.39261693 0.39256063 0.39256027 0.3925043  0.39273387 0.39290553 0.3928934 0.39294794 0.39295077 0.39301187 0.39301738 0.39307857 0.39301202 0.39303523 0.3931966  0.3930954  0.39305854 0.39290595 0.39296 0.39296025 0.3930472 ]"
10,1,"[0.16778936 0.15878363 0.13731682 0.12116433 0.10233274 0.08700422 0.07560856 0.05879665 0.04864799 0.04255571]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04206792 0.04166594 0.04147934 0.04135512 0.04129931 0.04126387 0.04124225 0.0412245  0.04120984 0.04119385]","[0.3368533  0.34507766 0.34856814 0.35097232 0.35180166 0.35237968 0.3529405  0.3533289  0.3534242  0.3537522 ]"
10,3,"[0.19045003 0.205061   0.17672468 0.14540521 0.10478765 0.07466065 0.04631377 0.02838574 0.0168205  0.01139077]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04212808 0.04161625 0.04141997 0.041333   0.04128934 0.04126001 0.0412404  0.04122184 0.04120675 0.04119302 0.0687592  0.06872389 0.06870456 0.06868959 0.06867148 0.06865426 0.06863877 0.06862491 0.06860575 0.06859014 0.09568126 0.095637   0.09560761 0.09558486 0.09556403 0.09554244 0.09552213 0.09551184 0.09548636 0.09547791]","[0.33362985 0.34558028 0.34987178 0.35165456 0.35230535 0.35284248 0.35348156 0.3537164  0.3540218  0.35423952 0.37032482 0.3705316 0.3707305  0.37105277 0.3710957  0.37129876 0.37126166 0.37149414 0.3716514  0.37182567 0.37848005 0.37877285 0.3789612  0.37917402 0.37934393 0.37950075 0.37951666 0.37958562 0.37974706 0.37997302]"
10,6,"[0.16686504 0.23305093 0.20219893 0.14708998 0.10390578 0.07400308 0.03710346 0.0180015  0.01093728 0.00684401]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04206028 0.04165793 0.04146673 0.04135623 0.04130397 0.04126867 0.04124315 0.04122507 0.04120853 0.04119578 0.06765681 0.06762295 0.06760541 0.0675899  0.06757389 0.06755933 0.06754238 0.06752978 0.06750818 0.06749108 0.09625097 0.09620038 0.09616467 0.0961374 0.09611336 0.09609065 0.09607617 0.09605692 0.09604199 0.09602809 0.11645367 0.11641888 0.11640509 0.11639192 0.11638913 0.11637209 0.11635463 0.11634524 0.11633325 0.11632202 0.12765593 0.12764242 0.12763083 0.12761983 0.12762342 0.12760049 0.12759535 0.1275873 0.12758322 0.12757531 0.13566459 0.13565113 0.1356436  0.1356404 0.13563838 0.13562556 0.13561946 0.13561413 0.13560867 0.13560469]","[0.33443815 0.3447695  0.34876588 0.35069224 0.3515221  0.35216644 0.35271907 0.3532382  0.35347804 0.35364804 0.36980218 0.3700677 0.3702386  0.37039888 0.37054104 0.37072527 0.3707742  0.37089786 0.37102538 0.37129825 0.37949398 0.38000253 0.3801711  0.3803409 0.38037175 0.38065585 0.38074684 0.38090175 0.38100672 0.38104475 0.38437697 0.38450283 0.38463065 0.3846238  0.3847616  0.3847627 0.38482454 0.38491735 0.38497877 0.3850773  0.38802078 0.38806108 0.38815054 0.38813102 0.3881561  0.3881602  0.38821214 0.38831687 0.3883621  0.38827875 0.389747   0.389805   0.38981873 0.38982743 0.38984218 0.3899687  0.38998803 0.38996735 0.38999423 0.39004123]"
10,12,"[0.14002861 0.23560497 0.23424629 0.15859833 0.10857983 0.05768316 0.03185737 0.01631157 0.01128197 0.0058079 ]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04213438 0.04162072 0.04142925 0.04134379 0.04129889 0.04126644 0.04124368 0.04122538 0.04120732 0.04119356 0.06888043 0.06884282 0.06882173 0.06880989 0.06878715 0.06876421 0.0687419  0.06872138 0.06869874 0.0686802  0.09611518 0.09607172 0.09604917 0.09602631 0.09600702 0.09599094 0.09597223 0.09595734 0.09594542 0.09593006 0.1165977  0.11657155 0.11657341 0.11654467 0.11653382 0.11651215 0.11651678 0.11649569 0.11648438 0.11649047 0.12993736 0.12992086 0.12991472 0.1299015  0.12989161 0.12988602 0.12987676 0.12986995 0.12986566 0.12985498 0.14006813 0.14005377 0.14004147 0.1400455 0.14004092 0.14002625 0.14002235 0.14001549 0.14000872 0.14000172 0.14321234 0.14320545 0.14320056 0.1431944  0.14318745 0.14318315 0.14317902 0.14317448 0.14316754 0.14316501 0.14464102 0.14462415 0.14462514 0.14462508 0.14462065 0.14461239 0.14461029 0.14460159 0.14459943 0.14459783 0.14511479 0.14511287 0.1451059  0.1450979 0.14509659 0.14509477 0.14509623 0.14509104 0.14508515 0.1450854 0.14595758 0.14594929 0.14595397 0.14594727 0.14594215 0.14594261 0.14593415 0.14593299 0.14592861 0.14592795 0.14657895 0.1465803 0.14657286 0.14657154 0.14656674 0.14656837 0.14656454 0.14656123 0.14655904 0.14655467 0.1465614  0.14655895 0.14655306 0.14655325 0.14654816 0.14654564 0.14654648 0.14654485 0.14653947 0.14654194]","[0.33562115 0.3455388  0.34903288 0.35055318 0.35162857 0.35219485 0.35274807 0.35316244 0.35349312 0.35379207 0.37283078 0.37316355 0.37340552 0.37347153 0.37372482 0.3739264  0.37413105 0.37424728 0.37443292 0.37484747 0.3793073  0.37955394 0.37969202 0.37987426 0.38002297 0.38009042 0.3802945  0.38030538 0.38039798 0.38047472 0.38602746 0.38613287 0.38615683 0.3862834  0.38631132 0.38651767 0.38643724 0.38652444 0.3866279  0.38664946 0.38701072 0.38718966 0.38728702 0.38734317 0.38749456 0.38734257 0.3875356  0.38746136 0.38757867 0.38757548 0.388434   0.3886106  0.38861513 0.38861957 0.3886395  0.3885961  0.3886359  0.38870376 0.38875496 0.38879466 0.38885257 0.38895577 0.38899818 0.38907936 0.3890673  0.38911957 0.38915125 0.38911277 0.38912886 0.38911203 0.38957283 0.38962704 0.38965374 0.38961488 0.38968953 0.38969028 0.38965458 0.3897775 0.38974088 0.3897475  0.39121282 0.39119172 0.3911743  0.3911975 0.3913138  0.3912255  0.3912156  0.39121184 0.39128682 0.3913117 0.39188677 0.3918345  0.39183542 0.39192507 0.3919997  0.3919099 0.3920396  0.39196151 0.39196065 0.3919919  0.39284146 0.39277995 0.39291668 0.39283448 0.39282116 0.3929192  0.39291283 0.39297467 0.39290673 0.39294675 0.39327595 0.3931884  0.39323297 0.3931806 0.39327627 0.39324015 0.3932734  0.3933557  0.3933026  0.3932272 ]"
10,16,"[0.14551015 0.2430965  0.22107931 0.16820083 0.09446591 0.06275341 0.03445045 0.0174794  0.0081068  0.00485725]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04206304 0.04162428 0.0414495  0.04134543 0.04129259 0.04125941 0.04123493 0.04121752 0.04120115 0.04118825 0.06831648 0.06828065 0.06825989 0.06824321 0.06822518 0.0682093  0.06819446 0.0681766 0.06815793 0.06814118 0.09696316 0.09691519 0.09688614 0.09686559 0.0968396  0.09682029 0.0968019  0.09679065 0.09677409 0.09675961 0.11648004 0.11645838 0.1164429  0.11643023 0.11641784 0.11640753 0.11639064 0.1163776  0.1163755  0.11635468 0.12693425 0.12692221 0.1269132  0.12690061 0.12688969 0.12687844 0.12687009 0.12686313 0.12685318 0.12684683 0.13613384 0.13613618 0.13611334 0.13611646 0.13610249 0.13609287 0.13608822 0.13608837 0.13607459 0.13607207 0.14125872 0.1412489  0.14124473 0.14123887 0.14123417 0.14123163 0.14122191 0.14122001 0.1412182  0.14120869 0.14597438 0.14598354 0.14596167 0.14596165 0.14594983 0.14594846 0.14594247 0.14597325 0.14593394 0.1459304  0.1457178  0.14571424 0.14570742 0.14570481 0.14570469 0.14569794 0.14569392 0.14569136 0.14569158 0.14568372 0.14744105 0.14743781 0.14743345 0.14743093 0.14742584 0.14742329 0.14742164 0.14741663 0.14741504 0.14741381 0.14671975 0.14680771 0.14672003 0.146711   0.14671629 0.14670533 0.14671065 0.14670518 0.14669958 0.14669976 0.14791357 0.14790731 0.14790847 0.14790416 0.14789914 0.14789961 0.14789793 0.14789638 0.1478918  0.14789094 0.14812083 0.14812132 0.14812281 0.14811724 0.14811467 0.14814644 0.14810993 0.14811652 0.14810854 0.14810616 0.14921769 0.14921213 0.14921049 0.14920875 0.14921182 0.1492011  0.14920318 0.14920274 0.14919699 0.14919511 0.15125994 0.15125738 0.15125604 0.15125161 0.15125382 0.15125078 0.15124922 0.15124438 0.1512421  0.15124406 0.14990791 0.14990729 0.14990576 0.14991603 0.14990103 0.14989894 0.14991028 0.14989783 0.14989517 0.14989696]","[0.33601928 0.3462062  0.34960368 0.3515464  0.3522441  0.35267326 0.3531389  0.3536224  0.35370937 0.3537324  0.37017635 0.37039024 0.37062365 0.37074733 0.37088665 0.37099716 0.37115994 0.3712366 0.3714551  0.37161738 0.37900025 0.37931997 0.37945467 0.3796059 0.3797966  0.38004315 0.3800487  0.3801421  0.38020745 0.3802686 0.38352492 0.38370565 0.38382202 0.38385066 0.38394836 0.38396403 0.3840592  0.3841889  0.3842137  0.3842827  0.3845194  0.38464835 0.38465998 0.3847679  0.38472742 0.38479832 0.38481405 0.38495097 0.38493562 0.38497826 0.38780227 0.38780338 0.3878383  0.38782743 0.3878754  0.38801944 0.38792276 0.3879979  0.38808814 0.38809192 0.39046115 0.3904712  0.39060658 0.3906133  0.39057258 0.39062956 0.39069524 0.39080667 0.39066514 0.39069876 0.39179847 0.39186206 0.39181724 0.3918773  0.39189237 0.39193845 0.3918619  0.39196417 0.39203045 0.391945   0.39263502 0.39270908 0.3926945  0.3927037 0.3927865  0.3928176  0.39278087 0.3927374  0.39275935 0.39285955 0.39307377 0.39313912 0.39317825 0.39319307 0.3931295  0.39326757 0.39323765 0.39321646 0.39327493 0.39319468 0.39334154 0.3933143 0.39334607 0.3933248  0.39338645 0.39342347 0.39330837 0.3934032 0.3933867  0.3933737  0.3935541  0.39343938 0.39347047 0.3934662 0.3935943  0.3935453  0.39360428 0.39353383 0.39365822 0.39361015 0.3935727  0.3935788  0.3935127  0.3935257  0.39355543 0.39355418 0.3935824  0.39357504 0.3935385  0.39353448 0.39340556 0.39350265 0.39351505 0.39356852 0.3934596  0.39350358 0.39348716 0.393517 0.39353925 0.39350936 0.3937628  0.39370212 0.39378893 0.39373615 0.39373296 0.3937235  0.39374527 0.39379296 0.39383316 0.3937757 0.3935638  0.3936366  0.39366552 0.3936521  0.3937127  0.39362186 0.39357254 0.39371043 0.3936135  0.39361557]"
10,20,"[0.14780448 0.24221824 0.21922766 0.15782311 0.10681118 0.06122048 0.03454548 0.01587617 0.00999625 0.00447695]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04207857 0.04165217 0.04145371 0.04134613 0.04129382 0.04126204 0.04123795 0.04121786 0.04120284 0.04118896 0.06814561 0.06810988 0.06809081 0.06807378 0.06805597 0.06804109 0.06802673 0.068008 0.06799063 0.06796735 0.09592257 0.09587923 0.09584931 0.09582403 0.09580258 0.09578434 0.09576763 0.09574844 0.09573738 0.09572333 0.11771513 0.11768908 0.11767228 0.11766025 0.11764782 0.11763299 0.11761828 0.11761061 0.1175992  0.11758907 0.12819775 0.12818861 0.12819045 0.12816724 0.12815964 0.12814837 0.12814304 0.12814272 0.12812281 0.12812425 0.13726622 0.13725547 0.13725111 0.13724206 0.13723411 0.13723376 0.13722334 0.13722059 0.13720691 0.1372037 0.14361291 0.14360817 0.1436028  0.14359714 0.14359161 0.14358832 0.14358359 0.14357764 0.14357298 0.14356806 0.14433656 0.14433482 0.14436675 0.14432    0.14432072 0.14431179 0.14431461 0.14431104 0.14431225 0.14430096 0.14506538 0.14505644 0.14505526 0.14504984 0.14504747 0.14504568 0.14504199 0.14503794 0.14504671 0.14503156 0.1482067  0.14820458 0.14819614 0.14819653 0.14819312 0.14819011 0.14818748 0.14818961 0.14818431 0.14817562 0.14923109 0.14922722 0.14922427 0.1492183  0.14921675 0.1492124  0.14921138 0.14921087 0.14921019 0.14920551 0.14802305 0.14802    0.14801686 0.14801567 0.14801333 0.14801218 0.14800909 0.14800762 0.14800446 0.1480027 0.14695289 0.14695127 0.14696566 0.14694649 0.14694652 0.14694271 0.14694238 0.14694095 0.1469374  0.14693718 0.14515513 0.14515008 0.1451522  0.14515032 0.14519663 0.14513911 0.14514262 0.1451415 0.14514012 0.14513599 0.14638561 0.1463839  0.14638267 0.14637723 0.14637666 0.14637524 0.1463754  0.14637664 0.14637216 0.14637308 0.14840085 0.14838941 0.14839441 0.14839207 0.14838947 0.14838661 0.14838456 0.14838579 0.1483851  0.14838195 0.14859445 0.1485979 0.14859347 0.14859172 0.14859027 0.14859057 0.1485828  0.14858284 0.14858243 0.14858133 0.14947929 0.14948572 0.14947775 0.14947738 0.14947582 0.14947406 0.14947736 0.14947077 0.14947377 0.14947327 0.15072985 0.15072972 0.1507294  0.15072524 0.15072626 0.15072475 0.15072564 0.1507323  0.15071961 0.15071926 0.15076205 0.15075754 0.15075591 0.15078654 0.15075286 0.15075156 0.15074906 0.15075627 0.15074729 0.1507485 ]","[0.33208877 0.34383628 0.34812    0.35042667 0.35162598 0.35226113 0.35268506 0.35300294 0.353422   0.35359308 0.3678117  0.36820197 0.36833468 0.36838922 0.36861375 0.36876917 0.36878055 0.36897954 0.36905864 0.36927286 0.37727228 0.37758428 0.37778702 0.3779819 0.37807345 0.37828743 0.37831348 0.37851274 0.37861437 0.37868658 0.38316634 0.3833091  0.3833567  0.38336003 0.38346872 0.38367012 0.38365963 0.38364524 0.38373035 0.3838624  0.38690707 0.38707775 0.38718063 0.38713872 0.3872107  0.38723993 0.3873238  0.3872929 0.38733754 0.38735566 0.38945067 0.3895838  0.3895864  0.38968542 0.38968384 0.389761   0.38967294 0.38976744 0.38979274 0.38983876 0.390809   0.3908261  0.3909454  0.3908545  0.39087418 0.390915 0.39099458 0.39095864 0.39100388 0.39102063 0.39148495 0.39149424 0.39145002 0.39155793 0.39148295 0.39155886 0.39152995 0.3916639 0.39166534 0.3916191  0.39208525 0.39212838 0.39212134 0.39220026 0.39214674 0.3922193  0.39220765 0.39222348 0.39219517 0.39216936 0.3924771  0.39234513 0.39244533 0.39243177 0.3923444  0.3924346 0.39245364 0.3925327  0.39252728 0.39250875 0.39285436 0.39290178 0.39292365 0.39291793 0.39294425 0.39299855 0.39307588 0.39297205 0.3930184  0.3929904  0.3932458  0.39322484 0.39325014 0.39328316 0.39334404 0.39325106 0.3932773  0.39333904 0.3933082  0.3932931 0.39359438 0.3936552  0.393691   0.3936961  0.3936258  0.3936764 0.39378065 0.39369148 0.39375073 0.3937127  0.39367667 0.3936672 0.39371446 0.39367256 0.39368966 0.39376706 0.39372283 0.3937219 0.39372325 0.39372995 0.39375257 0.393659   0.39376932 0.3937277 0.39371234 0.39370206 0.3936863  0.39379203 0.39374462 0.39373893 0.39372876 0.39380434 0.39373407 0.39378542 0.3937519  0.39375308 0.39378357 0.3938196  0.3937095  0.39377034 0.39391536 0.39391956 0.3939193  0.3939168  0.39397267 0.39392188 0.3941082  0.39401188 0.39395028 0.39395273 0.39394838 0.39390624 0.39391938 0.3938986 0.39396453 0.3939637  0.39389375 0.39399922 0.39382756 0.3939946 0.39410695 0.39413485 0.39409867 0.39412597 0.3941534  0.39416763 0.39418304 0.39416268 0.39417407 0.3941094  0.39408183 0.39414474 0.3940944  0.39417884 0.39412773 0.39415145 0.3941512  0.39422032 0.3941188  0.39405334]"
20,1,"[0.15662596 0.16004196 0.14246468 0.12444665 0.1042663  0.09141372 0.07163341 0.05883653 0.04848618 0.0417846 ]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04203562 0.04163178 0.04144992 0.04134863 0.0412987  0.04126391 0.04123998 0.04122263 0.04120609 0.04119334 0.04118194 0.04117026 0.04116164 0.0411517  0.04114095 0.04113244 0.04112443 0.04111605 0.04110731 0.04109933]","[0.33490866 0.34468818 0.34890386 0.35084742 0.351955   0.35269377 0.35306785 0.3532629  0.35354626 0.35367486 0.35396388 0.35416138 0.3541353  0.35434827 0.35457936 0.35456803 0.35475126 0.35494247 0.35490483 0.3550987 ]"
20,3,"[0.18108085 0.20387975 0.19149301 0.15160338 0.10237899 0.06923488 0.04448774 0.02757944 0.01618637 0.01207558]","[0.14533  0.246614 0.223058 0.159512 0.100358 0.059094 0.033028 0.018238 0.009528 0.00524 ]","[0.04208562 0.04163784 0.04144695 0.04134695 0.04129824 0.04126508 0.04124115 0.04122127 0.04120735 0.04119542 0.04118081 0.04117101 0.04116129 0.04115111 0.0411421  0.04113451 0.04112429 0.04111688 0.0411081  0.04109879 0.06836898 0.06830218 0.06828264 0.068263 0.06824481 0.06822757 0.06820723 0.0681919  0.06817722 0.06816763 0.06815379 0.06814252 0.06813159 0.06812364 0.06811326 0.06810753 0.06809793 0.06809017 0.06808439 0.06807823 0.09826495 0.09824284 0.09823024 0.09822141 0.09821109 0.09820364 0.0981922  0.09818595 0.09817529 0.09817157 0.09815772 0.09815176 0.09815975 0.09813824 0.09813504 0.09812707 0.09812357 0.09811636 0.09811486 0.09810278]","[0.33613136 0.34669155 0.34971678 0.35122257 0.35234576 0.3526296 0.3530857  0.353563   0.35365373 0.35377237 0.35402423 0.35408682 0.3540631  0.3542831  0.35433975 0.35446215 0.35427037 0.3546106 0.35469875 0.35479158 0.37118015 0.3714292  0.3716443  0.37175897 0.3718797  0.37207702 0.37226853 0.37238047 0.37255013 0.37273887 0.37283078 0.3728622  0.37299836 0.37298587 0.37316483 0.37318704 0.373151   0.37325588 0.373465   0.37332508 0.38215426 0.3822889 0.3823012  0.38235652 0.38239437 0.3825828  0.3825596  0.38259906 0.38268343 0.38266733 0.3827931  0.38289523 0.3829345  0.38290069 0.38294834 0.38299167 0.3830343  0.38302383 0.38309035 0.3830225 ]"
