epochs,iterations,f_dsea,f_true,loss,acc,chi2
5,6,"[0.14951032 0.25677319 0.20287738 0.13545703 0.10935696 0.06783309
 0.03475642 0.02396021 0.01256717 0.00690822]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04360282 0.0421953  0.04206566 0.04197433 0.04192279 0.07006618
 0.06769958 0.0674585  0.06733766 0.0672664  0.09498388 0.09083851
 0.09054201 0.09038256 0.09027731 0.11890639 0.11313587 0.11187916
 0.11161768 0.11146905 0.13348725 0.12618232 0.12571812 0.12549815
 0.125313   0.13875335 0.13240494 0.13203849 0.13181011 0.13160785]","[0.300562 0.33354  0.336656 0.33889  0.339625 0.32803  0.34864  0.350403
 0.351575 0.352106 0.335789 0.356016 0.35786  0.3591   0.359613 0.3439
 0.364303 0.367204 0.368415 0.368805 0.353114 0.36933  0.372154 0.373025
 0.374366 0.353236 0.370166 0.372318 0.373137 0.374554]","[0.08824456 0.07651189 0.07609093 0.07541793 0.07524785 0.05183432
 0.04094195 0.04038062 0.04006898 0.04005925 0.03538472 0.0233369
 0.02309282 0.02288905 0.02286543 0.02386761 0.01185151 0.01222009
 0.01211464 0.01208549 0.0194542  0.00691646 0.00664059 0.00665517
 0.00650825 0.0184798  0.0053412  0.00536696 0.00509165 0.00513813]"
5,8,"[0.18188368 0.23772894 0.1742852  0.15724576 0.12057151 0.0590011
 0.03345814 0.01813473 0.01017269 0.00751825]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04499109 0.0422611  0.04210395 0.04201069 0.04195764 0.07297669
 0.0688964  0.06864429 0.06847403 0.0683828  0.09714645 0.09200113
 0.0916906  0.09152272 0.09141684 0.11779988 0.1140341  0.11366142
 0.11348844 0.11335664 0.14026979 0.12811194 0.12758872 0.12734097
 0.12718424 0.14341252 0.13649926 0.13590953 0.13563815 0.13547179
 0.14857557 0.14138429 0.14085804 0.14060076 0.14046821 0.15369336
 0.14429131 0.14386715 0.14361207 0.14346325]","[0.30396  0.333082 0.338307 0.340972 0.341571 0.306357 0.353777 0.356043
 0.357656 0.358822 0.332168 0.358126 0.359658 0.360995 0.361661 0.349396
 0.3606   0.36275  0.363711 0.364679 0.319637 0.36168  0.364355 0.365958
 0.366416 0.350382 0.366054 0.368546 0.369519 0.370123 0.349469 0.368552
 0.371016 0.371988 0.372501 0.350466 0.368643 0.370154 0.371525 0.372057]","[0.08353798 0.07713655 0.07631217 0.07597086 0.07559272 0.06897589
 0.03408939 0.03352281 0.03325274 0.03306076 0.04055755 0.02113003
 0.02082793 0.02054481 0.0205414  0.02232281 0.01373918 0.01327038
 0.01331723 0.01322849 0.03207569 0.011292   0.01100787 0.01097481
 0.01082875 0.02186653 0.00739905 0.00727253 0.00723721 0.00734055
 0.01742385 0.00609701 0.00609017 0.00594994 0.00601555 0.03151026
 0.00642413 0.00631753 0.00633147 0.00635052]"
5,10,"[0.16649907 0.24624632 0.19130933 0.15348122 0.1144228  0.06141045
 0.02835354 0.02231954 0.0078296  0.00812814]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.0447722  0.0422489  0.04207804 0.0420048  0.04195028 0.07149413
 0.06878373 0.06859777 0.06849829 0.06843223 0.10430001 0.10031494
 0.09999211 0.09983375 0.09969787 0.12850131 0.12070971 0.12031979
 0.12009097 0.11994123 0.13619563 0.12987022 0.1294764  0.12925239
 0.12907916 0.15038526 0.14035626 0.1397577  0.13950047 0.1392878
 0.1496126  0.13904832 0.13851084 0.1382568  0.1380719  0.1630328
 0.14751033 0.14636375 0.14604892 0.14586066 0.1547224  0.14797725
 0.14750491 0.14721037 0.14701386 0.15530011 0.14524718 0.14481463
 0.1445752  0.14442943]","[0.295436 0.33002  0.336025 0.337744 0.339067 0.335905 0.353632 0.35606
 0.356783 0.358522 0.334503 0.359669 0.362104 0.363374 0.364962 0.343257
 0.363518 0.365067 0.366232 0.366953 0.346493 0.367711 0.369352 0.371003
 0.371596 0.337771 0.369009 0.370531 0.371651 0.37309  0.334703 0.371252
 0.373307 0.374016 0.374872 0.319807 0.371152 0.374582 0.375602 0.376739
 0.354229 0.373514 0.375563 0.376839 0.37781  0.348608 0.372897 0.374546
 0.375052 0.376045]","[0.09120538 0.07678039 0.07594852 0.07547434 0.07534007 0.04362441
 0.03136928 0.03094076 0.03094403 0.03073157 0.03435474 0.01646963
 0.01611699 0.01590237 0.01581782 0.03091274 0.01103897 0.01083449
 0.01071133 0.0107105  0.02056942 0.00730614 0.00718439 0.00707399
 0.00699164 0.03124651 0.00581007 0.00579701 0.00570196 0.00558636
 0.03194611 0.00503242 0.00493435 0.00497077 0.00486487 0.03905377
 0.00404482 0.00358629 0.00346871 0.00344539 0.01181937 0.00286401
 0.00279457 0.00264404 0.00265088 0.03178645 0.00380583 0.00360342
 0.00347136 0.0035582 ]"
5,12,"[0.17804424 0.20341125 0.23248988 0.16990085 0.08030429 0.07417266
 0.02951866 0.0132926  0.01269206 0.0061735 ]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04388841 0.04223255 0.04210262 0.04202377 0.04196825 0.07738098
 0.07377407 0.07351252 0.07338864 0.07330055 0.10387922 0.09904674
 0.09871969 0.09848876 0.09834972 0.12437954 0.11805999 0.11760443
 0.11739746 0.11725889 0.1406218  0.13288422 0.13245897 0.13221699
 0.13204187 0.14752552 0.13866103 0.13819386 0.13790141 0.13771236
 0.15966333 0.1463764  0.14584011 0.14558293 0.145394   0.16600662
 0.15000392 0.14953844 0.14924662 0.1490833  0.15976559 0.15055507
 0.14986919 0.14962454 0.14942493 0.15949321 0.1516922  0.15122548
 0.15092897 0.15072845 0.15860094 0.14987129 0.14864092 0.14785686
 0.14737296 0.16769047 0.1484295  0.14749397 0.14714918 0.14695838]","[0.292205 0.333896 0.336658 0.337936 0.339805 0.330477 0.350559 0.353497
 0.354963 0.355256 0.331063 0.356954 0.35941  0.36104  0.36174  0.343604
 0.361781 0.364335 0.365417 0.3656   0.33589  0.354058 0.356252 0.357778
 0.358999 0.318855 0.354772 0.356097 0.357404 0.358503 0.342037 0.361372
 0.363371 0.364649 0.365368 0.320871 0.362616 0.363764 0.365138 0.365725
 0.340533 0.362895 0.366038 0.366858 0.367373 0.338145 0.358014 0.360936
 0.362318 0.362719 0.333152 0.357318 0.359821 0.36197  0.363498 0.318759
 0.362122 0.365329 0.367079 0.367682]","[0.09686539 0.07689183 0.0760863  0.07572064 0.07534221 0.04375846
 0.03306247 0.03257558 0.03246192 0.03218592 0.03649567 0.01903901
 0.01870467 0.0185249  0.0183718  0.02501019 0.0119946  0.01161921
 0.01160286 0.011571   0.03138922 0.01202044 0.01184783 0.01183777
 0.01168854 0.02903278 0.01094756 0.01079838 0.01057581 0.01052619
 0.03466239 0.00785708 0.00789221 0.00773553 0.00774714 0.04447982
 0.00740757 0.0072936  0.00709805 0.00731109 0.02151297 0.00697695
 0.00673971 0.00677944 0.00674709 0.02110225 0.00847469 0.00844527
 0.0083606  0.00826739 0.02545657 0.00995182 0.00938771 0.00894422
 0.0089397  0.06442151 0.00884632 0.00871249 0.00848778 0.00852756]"
5,16,"[0.13824843 0.25473777 0.22915221 0.14194853 0.11545638 0.06253801
 0.0262797  0.01413966 0.00963798 0.00786134]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04361979 0.04225158 0.04210996 0.04203624 0.04195353 0.07163151
 0.06868459 0.06839948 0.06825525 0.06815985 0.09869221 0.09346195
 0.09314284 0.09295634 0.09282394 0.1242921  0.11506699 0.11465989
 0.11445361 0.11428763 0.13430983 0.12780167 0.12738189 0.12715639
 0.1269775  0.14030598 0.13404527 0.13361585 0.13336228 0.13318038
 0.15362032 0.14530209 0.14477767 0.1444948  0.14431071 0.15683985
 0.14640039 0.14586782 0.14561532 0.14541765 0.15919678 0.15104511
 0.15058522 0.15031262 0.15008627 0.16027056 0.1522976  0.15170826
 0.15147609 0.15127385 0.16133478 0.1516222  0.15111123 0.15085301
 0.1506482  0.16275921 0.15505618 0.15444998 0.15416606 0.15393774
 0.165152   0.15646428 0.15591955 0.15564212 0.15541595 0.16109493
 0.15470095 0.15419775 0.15397188 0.15375014 0.15740006 0.15175487
 0.15121047 0.15092549 0.15071635 0.15268047 0.14553054 0.14500397
 0.14471473 0.1445259 ]","[0.299468 0.329597 0.334113 0.336951 0.338941 0.321597 0.35327  0.355324
 0.356463 0.357725 0.328503 0.357156 0.359397 0.361167 0.361736 0.328226
 0.364538 0.366271 0.367659 0.368597 0.348114 0.367045 0.369685 0.371311
 0.37207  0.349454 0.369809 0.37127  0.372598 0.373931 0.350438 0.372396
 0.374211 0.375621 0.376108 0.342017 0.371196 0.373694 0.37462  0.375169
 0.349024 0.370739 0.372529 0.373578 0.374581 0.349389 0.371919 0.373374
 0.374252 0.374987 0.346369 0.371178 0.372764 0.373546 0.374631 0.349559
 0.371223 0.373334 0.374689 0.375696 0.355648 0.371304 0.37393  0.374784
 0.375673 0.359463 0.373508 0.375475 0.376009 0.377384 0.358483 0.372873
 0.374821 0.375951 0.376466 0.35493  0.37328  0.37497  0.376236 0.376819]","[0.08938975 0.07732671 0.07651056 0.07597663 0.07551128 0.06114656
 0.0344977  0.0336813  0.03358826 0.03320007 0.0429908  0.02003524
 0.01950294 0.01940076 0.01920762 0.05333355 0.01083611 0.01054113
 0.01060838 0.01048567 0.02086386 0.00653646 0.00653772 0.00641898
 0.00631009 0.01683637 0.00522307 0.00505656 0.00498938 0.0049007
 0.01516089 0.00412726 0.00405538 0.00394573 0.00392933 0.02432593
 0.00430175 0.00414724 0.00409458 0.0041015  0.01527582 0.0043796
 0.00442406 0.00442496 0.00440377 0.01664747 0.00541258 0.00508957
 0.00519192 0.00506045 0.02855654 0.00518151 0.00509957 0.005112
 0.00501978 0.01869163 0.00488328 0.00470601 0.00471029 0.00456758
 0.01913645 0.00443473 0.00433209 0.00436612 0.00422979 0.01142986
 0.00431293 0.00429813 0.00439063 0.00430099 0.01050845 0.00425113
 0.00414681 0.0041483  0.00403336 0.01233851 0.00397497 0.00383918
 0.00379601 0.00384759]"
5,20,"[0.1595403  0.22022599 0.25427052 0.14566561 0.07894893 0.06578806
 0.04883415 0.01590208 0.00611305 0.00471131]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04468439 0.04224601 0.04208741 0.04200912 0.04193658 0.07230999
 0.06932703 0.06905606 0.06887942 0.06877001 0.09821206 0.09421094
 0.0939106  0.09374613 0.09362824 0.12228862 0.11709708 0.1166774
 0.11645666 0.11628972 0.13817321 0.13256001 0.13178702 0.13156863
 0.13139328 0.14476004 0.13769348 0.13725303 0.1370406  0.13681157
 0.15243924 0.13945748 0.13903402 0.13880837 0.13860925 0.15107363
 0.14323647 0.1426896  0.14241429 0.14219081 0.15271007 0.14576453
 0.14517969 0.14495271 0.14475709 0.16034888 0.14737633 0.14693381
 0.1466178  0.14644448 0.15993495 0.14872527 0.14813074 0.14786275
 0.1476923  0.1654726  0.15632173 0.15575582 0.15546761 0.15527484
 0.15811022 0.15015107 0.14962563 0.149368   0.14920323 0.1642104
 0.1521196  0.1515589  0.15127538 0.15106247 0.15592876 0.14853665
 0.14706093 0.14638682 0.14608885 0.15537745 0.14950927 0.14903286
 0.14880204 0.14862823 0.15649779 0.15129216 0.15081213 0.15054725
 0.15035053 0.16451457 0.15364943 0.15247491 0.15213543 0.15192644
 0.17049599 0.1554689  0.15429415 0.15394816 0.15374899 0.16307425
 0.1562858  0.15543257 0.15497786 0.15473929]","[0.288651 0.329733 0.335188 0.337745 0.338736 0.334416 0.353661 0.356308
 0.357809 0.358735 0.344392 0.360982 0.362587 0.363828 0.365289 0.346751
 0.365987 0.368318 0.369664 0.370948 0.355084 0.372382 0.374673 0.375426
 0.376476 0.349018 0.372427 0.374949 0.376053 0.377088 0.338258 0.375124
 0.376692 0.37751  0.378394 0.35358  0.374421 0.376365 0.377162 0.378146
 0.349081 0.372233 0.375071 0.376204 0.377168 0.326706 0.370644 0.37292
 0.374243 0.37528  0.335902 0.373903 0.375575 0.37646  0.376707 0.347825
 0.37204  0.374518 0.375384 0.376064 0.349984 0.372237 0.373729 0.375156
 0.37543  0.331786 0.368638 0.370502 0.371071 0.371906 0.34362  0.36259
 0.366245 0.368162 0.36873  0.354643 0.369017 0.370381 0.371717 0.372225
 0.352368 0.365992 0.368295 0.369265 0.369866 0.344468 0.364514 0.367334
 0.3691   0.370206 0.333356 0.359018 0.363071 0.364752 0.365302 0.349291
 0.36378  0.365998 0.367403 0.367951]","[0.08019901 0.07666459 0.07612758 0.07574406 0.07541973 0.04545268
 0.0337811  0.03304429 0.03276268 0.03267441 0.03096699 0.01801359
 0.01767221 0.01772869 0.01749744 0.02174752 0.00942768 0.0092213
 0.00903265 0.00901291 0.01231642 0.00512253 0.00492305 0.00491998
 0.00493243 0.01539965 0.00357794 0.00353626 0.00361854 0.00337708
 0.03983704 0.00284841 0.00285475 0.00278671 0.00268091 0.01550085
 0.00298399 0.00291308 0.00284369 0.00280648 0.01167026 0.00330678
 0.00322807 0.00324103 0.00323682 0.03720118 0.00338869 0.00330021
 0.00319384 0.00313982 0.02955268 0.00269277 0.00247235 0.00254911
 0.00259062 0.0198875  0.00324587 0.00307974 0.00303858 0.00309021
 0.01783041 0.0036568  0.00365732 0.00362976 0.00364743 0.02561242
 0.00500595 0.00491823 0.00500941 0.00489094 0.01752614 0.00607841
 0.00622064 0.00631115 0.00614825 0.01250624 0.00559545 0.00550116
 0.00547015 0.00539325 0.01227889 0.00788824 0.00781903 0.00778291
 0.00781083 0.03084122 0.00960329 0.00892082 0.00873371 0.0085999
 0.03733478 0.0097866  0.00918581 0.00901941 0.00910503 0.01605725
 0.0095569  0.00891182 0.00868191 0.00853729]"
10,1,"[0.15237586 0.15473607 0.13931857 0.12276305 0.1090212  0.09104317
 0.07211418 0.06040486 0.05287359 0.04534945]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04345148 0.04221736 0.0420753  0.0420061  0.04194441 0.04191031
 0.0418529  0.04182629 0.04179326 0.04177104]","[0.306543 0.334954 0.338601 0.340032 0.341138 0.341995 0.343323 0.34306
 0.343368 0.342942]","[0.08514339 0.07675439 0.0757769  0.07587761 0.075423   0.0751956
 0.07503557 0.07471737 0.07480107 0.07453857]"
10,3,"[0.18699868 0.20964864 0.17529926 0.13669017 0.11086716 0.07592701
 0.04242214 0.03276226 0.01716201 0.01222267]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04478339 0.04243747 0.04218632 0.04209631 0.04201775 0.04197963
 0.04193907 0.04188464 0.04185556 0.04183412 0.07182272 0.06933767
 0.06909926 0.06895481 0.06886808 0.06881495 0.0687407  0.06869192
 0.06863935 0.06860528 0.10107053 0.09566116 0.09529477 0.0951007
 0.0949484  0.0948713  0.09477406 0.09469908 0.0946371  0.09456734]","[0.280566 0.324891 0.331213 0.33376  0.335819 0.337116 0.338488 0.339273
 0.340255 0.340824 0.32866  0.354516 0.357327 0.35883  0.359763 0.360681
 0.361088 0.361608 0.362562 0.362186 0.327804 0.359791 0.361951 0.363427
 0.364192 0.364574 0.36578  0.365901 0.366275 0.367311]","[0.10457508 0.07769609 0.07617303 0.0760675  0.07551813 0.07508038
 0.07513713 0.07475356 0.07478231 0.07441146 0.04270251 0.03161856
 0.0311223  0.03090872 0.03076657 0.03068238 0.03053183 0.03060667
 0.03048998 0.03038452 0.04166248 0.01755567 0.01716827 0.01709326
 0.01695937 0.01691147 0.01689165 0.01686288 0.01673752 0.01678436]"
10,6,"[0.19998599 0.19383194 0.19451808 0.17031878 0.11055268 0.0637685
 0.03496318 0.01573013 0.01058541 0.0057453 ]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.04458409 0.04224871 0.04209268 0.0420197  0.04195989 0.04191941
 0.04187177 0.04184161 0.04181435 0.04178712 0.07493641 0.07035926
 0.07008207 0.0699289  0.06985469 0.06977531 0.06971715 0.06968141
 0.06962991 0.06958351 0.11008499 0.10333032 0.10295379 0.102774
 0.10264543 0.10255603 0.10246596 0.10239514 0.10231521 0.10225286
 0.12657216 0.12010789 0.11967336 0.11950458 0.119349   0.11920103
 0.11915144 0.11904395 0.11898431 0.11889963 0.13851492 0.13189627
 0.13137376 0.13110201 0.13094762 0.1308189  0.13072498 0.1306217
 0.13055009 0.13049543 0.14227472 0.1357141  0.13524234 0.13499519
 0.13477983 0.13464206 0.1345281  0.13440885 0.13433015 0.13423227]","[0.263855 0.328894 0.333589 0.335737 0.337837 0.339634 0.340874 0.341627
 0.341375 0.342201 0.315739 0.349953 0.353491 0.355634 0.357006 0.357915
 0.358601 0.358569 0.359331 0.3599   0.326785 0.359061 0.361453 0.362205
 0.363305 0.364119 0.364156 0.364647 0.36536  0.365921 0.32946  0.359677
 0.361886 0.362944 0.36337  0.364788 0.364657 0.365267 0.365963 0.366769
 0.340813 0.360215 0.361623 0.362827 0.363665 0.364359 0.364671 0.365765
 0.365555 0.365948 0.342758 0.360637 0.362314 0.363782 0.364176 0.365205
 0.365904 0.366719 0.367097 0.367229]","[0.14822344 0.07701239 0.0762407  0.07587811 0.07542371 0.07511744
 0.07503782 0.0748997  0.07481869 0.07455678 0.06102885 0.03307787
 0.03263481 0.0324587  0.03232871 0.03224159 0.03220696 0.03213302
 0.03198479 0.03206424 0.04573177 0.01612926 0.01574131 0.01563408
 0.01548106 0.01547463 0.01543573 0.01543613 0.01543839 0.01536571
 0.02857177 0.01287247 0.01250411 0.01253307 0.01235287 0.01221742
 0.01238293 0.01214183 0.0122024  0.01216791 0.01965489 0.01056073
 0.01058181 0.01045131 0.01035225 0.01037225 0.01032957 0.010251
 0.0102976  0.01021364 0.02315604 0.00980078 0.00960647 0.00961638
 0.00946913 0.00944975 0.00939487 0.00936816 0.00941954 0.00935504]"
10,8,"[0.15884109 0.22210167 0.227367   0.13146932 0.13609226 0.05727329
 0.02981229 0.02181046 0.01093095 0.00430166]","[0.146518 0.24642  0.223364 0.159558 0.099718 0.05844  0.032956 0.018036
 0.009848 0.005142]","[0.0435067  0.04220852 0.04207028 0.04199532 0.0419411  0.0419068
 0.04186874 0.04183321 0.04180945 0.04178236 0.07403414 0.07101192
 0.07079228 0.07065873 0.07058705 0.07051183 0.07045011 0.07040121
 0.07035742 0.07030295 0.10119706 0.09745378 0.0971524  0.09699006
 0.09683507 0.09675904 0.09668355 0.09659652 0.09654038 0.09647524
 0.12750503 0.11721323 0.11654787 0.11629591 0.11613115 0.11601587
 0.1159108  0.11582274 0.11571777 0.11566484 0.13868006 0.13061015
 0.12987143 0.12959282 0.12940526 0.12926354 0.12915714 0.12907128
 0.12897614 0.12890102 0.14258046 0.13496025 0.1338436  0.13356702
 0.13341923 0.13327569 0.1331718  0.13307762 0.1329566  0.13288042
 0.149462   0.1406665  0.14020734 0.13998875 0.13975954 0.1396409
 0.13949673 0.13939875 0.13930154 0.13919832 0.15551563 0.14663894
 0.1458165  0.1454911  0.14531818 0.1451711  0.14507325 0.14494179
 0.14484864 0.14475574]","[0.307033 0.33244  0.336282 0.338606 0.340083 0.341238 0.341611 0.342824
 0.343031 0.343979 0.330212 0.353471 0.356682 0.357767 0.358785 0.35949
 0.3602   0.361189 0.36134  0.361951 0.341729 0.359211 0.361436 0.361729
 0.36366  0.364157 0.364205 0.364736 0.364887 0.365883 0.336289 0.361136
 0.363999 0.365532 0.365819 0.366622 0.366616 0.36778  0.36842  0.368385
 0.340052 0.36509  0.367046 0.368082 0.36893  0.369655 0.370128 0.370628
 0.371077 0.371461 0.346635 0.365898 0.368869 0.370555 0.371169 0.371717
 0.372275 0.372946 0.373443 0.374022 0.340831 0.370166 0.372106 0.373261
 0.373962 0.374957 0.375387 0.375822 0.376428 0.377141 0.342309 0.367047
 0.369213 0.370121 0.371083 0.371742 0.371883 0.372564 0.373045 0.373357]","[0.09038116 0.07665487 0.07618985 0.07561461 0.07530633 0.07513021
 0.07499085 0.0746845  0.07469333 0.0744753  0.05236074 0.0318128
 0.03142746 0.03137574 0.03132822 0.03122433 0.03106694 0.03097691
 0.03093034 0.03086691 0.03136067 0.0189885  0.01856635 0.0186031
 0.01829156 0.01831337 0.01832207 0.01823259 0.018303   0.01819988
 0.02856999 0.01298449 0.01296042 0.01281166 0.01271481 0.01276289
 0.01267067 0.01263522 0.01253756 0.01258724 0.02659066 0.00860248
 0.00848582 0.00845695 0.00831635 0.00827294 0.00816183 0.0081789
 0.00820262 0.00818756 0.01540656 0.0062522  0.0062889  0.00625475
 0.00625495 0.00608854 0.00616937 0.00615778 0.00601547 0.00604464
 0.02667165 0.00509967 0.00483597 0.00482157 0.00476325 0.00480262
 0.00467961 0.00471998 0.00467521 0.00465378 0.02519822 0.00638685
 0.00645216 0.00628379 0.00627865 0.00626712 0.00622775 0.00621501
 0.00619848 0.00606088]"
